/カウンタ,移動パターン,敵の種類,x座標,x乱数,y座標,y乱数,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
/cnt,moveType,enemyType,x座標,xrand,y座標,yrand,speed,startTime,barrageType,bulletCol,bulletType,hp,waitTime,itemType
100,6,0,148,0,180,0,0,0,16,0,3,800,90,0
130,6,0,248,0,180,0,0,0,16,0,3,800,90,0
160,6,0,348,0,180,0,0,0,16,0,3,800,90,0
190,6,0,448,0,180,0,0,0,16,0,3,800,90,0
220,6,0,548,0,180,0,0,0,16,0,3,800,90,0
250,6,0,648,0,180,0,0,0,16,0,3,800,90,0
280,6,0,748,0,180,0,0,0,16,0,3,800,90,0
720,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
820,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
920,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
1020,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
1120,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
1220,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
1320,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
1420,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
1520,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
1620,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
1720,6,0,148,0,180,0,0,0,16,0,3,2000,90,0
1820,6,0,748,0,180,0,0,0,16,0,3,2000,90,0
720,6,0,148,0,80,0,0,0,17,2,1,50,90,0
770,6,0,248,0,80,0,0,0,17,2,1,50,90,0
820,6,0,348,0,80,0,0,0,17,2,1,50,90,0
870,6,0,448,0,80,0,0,0,17,2,1,50,90,0
920,6,0,548,0,80,0,0,0,17,2,1,50,90,0
970,6,0,648,0,80,0,0,0,17,2,1,50,90,0
1020,6,0,748,0,80,0,0,0,17,2,1,50,90,0
1070,6,0,148,0,80,0,0,0,17,2,1,50,90,0
1120,6,0,248,0,80,0,0,0,17,2,1,50,90,0
1170,6,0,348,0,80,0,0,0,17,2,1,50,90,0
1220,6,0,448,0,80,0,0,0,17,2,1,50,90,0
1270,6,0,548,0,80,0,0,0,17,2,1,50,90,0
1320,6,0,648,0,80,0,0,0,17,2,1,50,90,0
1370,6,0,748,0,80,0,0,0,17,2,1,50,90,0
1420,6,0,148,0,80,0,0,0,17,2,1,50,90,0
1470,6,0,248,0,80,0,0,0,17,2,1,50,90,0
1520,6,0,348,0,80,0,0,0,17,2,1,50,90,0
1570,6,0,448,0,80,0,0,0,17,2,1,50,90,0
1620,6,0,548,0,80,0,0,0,17,2,1,50,90,0
1670,6,0,648,0,80,0,0,0,17,2,1,50,90,0
1720,6,0,748,0,80,0,0,0,17,2,1,50,90,0
1770,6,0,148,0,80,0,0,0,17,2,1,50,90,0
1820,6,0,248,0,80,0,0,0,17,2,1,50,90,0
1870,6,0,348,0,80,0,0,0,17,2,1,50,90,0
//中ボス1,,,,0,,0,,,,,,,,
2400,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
2500,6,0,748,0,150,0,0,0,18,0,1,1500,180,0
2600,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
2700,6,0,748,0,150,0,0,0,18,0,1,1500,180,0
2800,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
2900,6,0,748,0,150,0,0,0,18,0,1,1500,180,0
3000,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
3100,6,0,748,0,150,0,0,0,18,0,1,1500,180,0
3200,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
3300,6,0,748,0,150,0,0,0,18,0,1,1500,180,0
3400,6,0,148,0,150,0,0,0,18,0,1,1500,180,0
2700,6,0,448,0,250,0,0,0,19,0,10,200,180,0
2770,6,0,448,0,330,0,0,0,19,0,10,200,180,0
2840,6,0,448,0,410,0,0,0,19,0,10,200,180,0
2910,6,0,448,0,490,0,0,0,19,0,10,200,180,0
2980,6,0,448,0,570,0,0,0,19,0,10,200,180,0
3050,6,0,448,0,650,0,0,0,19,0,10,200,180,0
3120,6,0,448,0,730,0,0,0,19,0,10,200,180,0
3190,6,0,448,0,810,0,0,0,19,0,10,200,180,0
3260,6,0,448,0,890,0,0,0,19,0,10,200,180,0
3660,6,0,448,0,150,0,0,0,18,2,1,2000,180,0
3780,6,0,448,0,200,0,0,0,18,2,1,2000,180,0
3900,6,0,448,0,250,0,0,0,18,2,1,2000,180,0
4020,6,0,448,0,300,0,0,0,18,2,1,2000,180,0
4140,6,0,448,0,350,0,0,0,18,2,1,2000,180,0
4260,6,0,448,0,400,0,0,0,18,2,1,2000,180,0
4380,6,0,448,0,450,0,0,0,18,2,1,2000,180,0
4500,6,0,448,0,500,0,0,0,18,2,1,2000,180,0
3660,6,0,148,0,960,0,0,0,19,2,10,200,180,0
3660,6,0,748,0,960,0,0,0,19,2,10,200,180,0
3760,6,0,148,0,860,0,0,0,19,2,10,200,180,0
3760,6,0,748,0,860,0,0,0,19,2,10,200,180,0
3860,6,0,148,0,760,0,0,0,19,2,10,200,180,0
3860,6,0,748,0,760,0,0,0,19,2,10,200,180,0
3960,6,0,148,0,660,0,0,0,19,2,10,200,180,0
3960,6,0,748,0,660,0,0,0,19,2,10,200,180,0
4060,6,0,148,0,560,0,0,0,19,2,10,200,180,0
4060,6,0,748,0,560,0,0,0,19,2,10,200,180,0
4160,6,0,148,0,460,0,0,0,19,2,10,200,180,0
4160,6,0,748,0,460,0,0,0,19,2,10,200,180,0
4260,6,0,148,0,360,0,0,0,19,2,10,200,180,0
4260,6,0,748,0,360,0,0,0,19,2,10,200,180,0
4360,6,0,148,0,260,0,0,0,19,2,10,200,180,0
4360,6,0,748,0,260,0,0,0,19,2,10,200,180,0
4460,6,0,148,0,160,0,0,0,19,2,10,200,180,0
4460,6,0,748,0,160,0,0,0,19,2,10,200,180,0
//中ボス2,,,,0,,0,,,,,,,,
5100,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5150,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5200,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5250,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5300,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5350,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5400,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5450,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5500,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5550,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5600,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5650,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5700,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5750,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5800,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5850,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5900,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5950,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6000,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6050,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6100,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6150,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6200,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6250,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6300,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6350,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6400,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6450,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6500,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6550,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6600,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6650,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6700,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6750,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6800,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6850,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6900,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
6950,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
7000,4,2,-16,0,50,0,0,0,20,0,6,800,0,3
5100,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5220,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5340,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5460,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5580,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5700,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5820,3,2,833,0,50,0,0,0,21,2,11,100,0,3
5940,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6060,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6180,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6300,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6420,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6540,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6660,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6780,3,2,833,0,50,0,0,0,21,2,11,100,0,3
6900,3,2,833,0,50,0,0,0,21,2,11,100,0,3
